시/도	시/군/구	지점번호	사물유형	이름
서울특별시	관악구	다사52414090	위치안내(표시)판	K1 호암생활관(위)
서울특별시	관악구	다사52524078	위치안내(표시)판	K2 천지약수
서울특별시	관악구	다사53014058	위치안내(표시)판	K3 만수천
서울특별시	관악구	다사53254055	위치안내(표시)판	K4 선유천약수터
서울특별시	관악구	다사53054043	위치안내(표시)판	K5 상봉약수
서울특별시	관악구	다사52984011	위치안내(표시)판	K6 하마바위
서울특별시	관악구	다사52834001	위치안내(표시)판	K7 마당바위약수
서울특별시	관악구	다사52783984	위치안내(표시)판	K8 마당바위
서울특별시	관악구	다사52763971	위치안내(표시)판	K9 해태상(상)
서울특별시	관악구	다사52823952	위치안내(표시)판	K10 헬기장(하)
서울특별시	관악구	다사53103904	위치안내(표시)판	K11 헬기장
서울특별시	관악구	다사52153958	위치안내(표시)판	K12 암반계곡개천(하)
서울특별시	관악구	다사52473948	위치안내(표시)판	K13 암반계곡개천(상)
서울특별시	관악구	다사52213984	위치안내(표시)판	K14 승천거북전망대
서울특별시	관악구	다사51983980	위치안내(표시)판	K15 저수지
서울특별시	관악구	다사51883947	위치안내(표시)판	K16 수영장
서울특별시	관악구	다사52293936	위치안내(표시)판	K17 수영장(하)
서울특별시	관악구	다사52513901	위치안내(표시)판	K18 수영장(상)
서울특별시	관악구	다사52653873	위치안내(표시)판	K19 연주대(하)
서울특별시	관악구	다사52923871	위치안내(표시)판	K20 관악문(하)
서울특별시	관악구	다사52743869	위치안내(표시)판	K21 관악문(상)
서울특별시	관악구	다사52603854	위치안내(표시)판	K22 연주대
서울특별시	관악구	다사52603833	위치안내(표시)판	K23 말바위
서울특별시	관악구	다사52093888	위치안내(표시)판	K24 제3왕관바위
서울특별시	관악구	다사51593881	위치안내(표시)판	K25 철탑
서울특별시	관악구	다사51683905	위치안내(표시)판	K26 자운암
서울특별시	관악구	다사51213975	위치안내(표시)판	K27 아카시아숲
서울특별시	관악구	다사51303931	위치안내(표시)판	K28 아카시아동산
서울특별시	관악구	다사51083880	위치안내(표시)판	K29 제4야영장
서울특별시	관악구	다사51663866	위치안내(표시)판	K30 공학관(상)
서울특별시	관악구	다사51843861	위치안내(표시)판	K31 연주샘
서울특별시	관악구	다사52593824	위치안내(표시)판	K32 제3깔딱고개
서울특별시	관악구	다사52433806	위치안내(표시)판	K33 삿갓승군
서울특별시	관악구	다사51703856	위치안내(표시)판	K34 버섯바위
서울특별시	관악구	다사51143857	위치안내(표시)판	K35 제5야영장
서울특별시	관악구	다사51273837	위치안내(표시)판	K36 우거지약수터
서울특별시	관악구	다사51633825	위치안내(표시)판	K37 제6야영장
서울특별시	관악구	다사52153806	위치안내(표시)판	K38 학바위능선1
서울특별시	관악구	다사51833790	위치안내(표시)판	K39 학바위능선2
서울특별시	관악구	다사51243787	위치안내(표시)판	K40 삼거리약수터(상)
서울특별시	관악구	다사51163811	위치안내(표시)판	K41 삼거리약수터
서울특별시	관악구	다사51153791	위치안내(표시)판	K42 무너미고개
서울특별시	관악구	다사51083786	위치안내(표시)판	K43 무너미고개(우측)
서울특별시	관악구	다사50523764	위치안내(표시)판	K44 삼성산초소
서울특별시	관악구	다사51143795	위치안내(표시)판	K45 제2삼거리위 암반
서울특별시	관악구	다사50863802	위치안내(표시)판
서울특별시	관악구	다사50313779	위치안내(표시)판	K47 거북바위
서울특별시	관악구	다사50343809	위치안내(표시)판
서울특별시	관악구	다사50503829	위치안내(표시)판
서울특별시	관악구	다사50553823	위치안내(표시)판
서울특별시	관악구	다사51113857	위치안내(표시)판	K51 용천수
서울특별시	관악구	다사50573835	위치안내(표시)판
서울특별시	관악구	다사50713875	위치안내(표시)판
서울특별시	관악구	다사50593877	위치안내(표시)판
서울특별시	관악구	다사50833902	위치안내(표시)판	K55 제2깔딱고개
서울특별시	관악구	다사50793938	위치안내(표시)판	K56 철쭉동산
서울특별시	관악구	다사50493913	위치안내(표시)판	K57 삼거리(하)
서울특별시	관악구	다사50223879	위치안내(표시)판	K58 삼거리
서울특별시	관악구	다사50293832	위치안내(표시)판	K59 제1깔딱고개
서울특별시	관악구	다사50153877	위치안내(표시)판
서울특별시	관악구	다사49693862	위치안내(표시)판	K61 운동장바위위
서울특별시	관악구	다사49823873	위치안내(표시)판
서울특별시	관악구	다사50063932	위치안내(표시)판
서울특별시	관악구	다사50183970	위치안내(표시)판	K64 용암천
서울특별시	관악구	다사50383922	위치안내(표시)판
서울특별시	관악구	다사50603968	위치안내(표시)판
서울특별시	관악구	다사50783956	위치안내(표시)판
서울특별시	관악구	다사50903963	위치안내(표시)판	K68 제2광장
서울특별시	관악구	다사50693981	위치안내(표시)판
서울특별시	관악구	다사50333976	위치안내(표시)판
서울특별시	관악구	다사50594021	위치안내(표시)판	K71 용화배드민턴
서울특별시	관악구	다사50624028	위치안내(표시)판
서울특별시	관악구	다사50144012	위치안내(표시)판	K73 약수암위 헬기장
서울특별시	관악구	다사49883994	위치안내(표시)판
서울특별시	관악구	다사49903985	위치안내(표시)판	K75 활터(위)
서울특별시	관악구	다사49953968	위치안내(표시)판	K76 제3야영장
서울특별시	관악구	다사49863942	위치안내(표시)판
서울특별시	관악구	다사49663897	위치안내(표시)판
서울특별시	관악구	다사49583876	위치안내(표시)판
서울특별시	관악구	다사49483915	위치안내(표시)판
서울특별시	관악구	다사49253940	위치안내(표시)판
